iter	Passed	Remaining
614	2275	1424
615	2279	1420
616	2283	1417
617	2286	1413
618	2290	1409
619	2293	1405
620	2297	1402
621	2300	1398
622	2304	1394
623	2307	1390
624	2311	1386
625	2314	1382
626	2318	1379
627	2321	1375
628	2325	1371
629	2328	1367
630	2332	1363
631	2335	1360
632	2339	1356
633	2343	1352
634	2346	1348
635	2350	1345
636	2353	1341
637	2357	1337
638	2360	1333
639	2364	1329
640	2367	1326
641	2371	1322
642	2374	1318
643	2378	1314
644	2381	1310
645	2385	1307
646	2389	1303
647	2392	1299
648	2396	1295
649	2399	1292
650	2403	1288
651	2406	1284
652	2410	1280
653	2413	1277
654	2417	1273
655	2420	1269
656	2424	1265
657	2428	1262
658	2431	1258
659	2435	1254
660	2439	1250
661	2442	1247
662	2446	1243
663	2449	1239
664	2453	1235
665	2456	1232
666	2460	1228
667	2463	1224
668	2467	1220
669	2471	1217
670	2474	1213
671	2478	1209
672	2481	1205
673	2485	1201
674	2488	1198
675	2492	1194
676	2495	1190
677	2499	1186
678	2502	1183
679	2506	1179
680	2509	1175
681	2513	1171
682	2516	1168
683	2520	1164
684	2523	1160
685	2526	1156
686	2530	1152
687	2534	1149
688	2537	1145
689	2541	1141
690	2544	1137
691	2548	1134
692	2552	1130
693	2555	1126
694	2558	1122
695	2562	1119
696	2566	1115
697	2569	1111
698	2573	1108
699	2576	1104
700	2580	1100
701	2583	1096
702	2586	1092
703	2590	1089
704	2594	1085
705	2597	1081
706	2601	1078
707	2605	1074
708	2608	1070
709	2612	1066
710	2615	1063
711	2619	1059
712	2622	1055
713	2626	1051
714	2629	1048
715	2633	1044
716	2636	1040
717	2640	1036
718	2643	1033
719	2647	1029
720	2651	1026
721	2655	1022
722	2658	1018
723	2662	1014
724	2665	1011
725	2669	1007
726	2672	1003
727	2675	999
728	2679	995
729	2682	992
730	2686	988
731	2689	984
732	2693	981
733	2696	977
734	2700	973
735	2703	969
736	2707	966
737	2711	962
738	2716	959
739	2722	956
740	2728	953
741	2731	949
742	2735	946
743	2741	943
744	2744	939
745	2748	935
746	2751	931
747	2755	928
748	2758	924
749	2761	920
750	2765	916
751	2768	913
752	2772	909
753	2775	905
754	2779	901
755	2782	898
756	2785	894
757	2789	890
758	2792	886
759	2796	883
760	2800	879
761	2803	875
762	2806	871
763	2810	868
764	2813	864
765	2817	860
766	2820	856
767	2824	853
768	2827	849
769	2831	845
770	2834	841
771	2838	838
772	2841	834
773	2844	830
774	2848	826
775	2851	823
776	2855	819
777	2858	815
778	2861	811
779	2865	808
780	2868	804
781	2871	800
782	2875	796
783	2878	793
784	2882	789
785	2885	785
786	2889	781
787	2892	778
